ID,SMILE
ID0000021,CC(C)=CCCC(C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C>>CC(C)=CCCC(C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C
ID0000022,*C(=O)C(NC(=O)C(N)CCSC)C(C)C>>*C(=O)C(N)C(C)C
ID0000023,O=C(O)C(=O)C(O)C(=O)O>>O=C(O)C(=O)C(O)C(=O)O
ID0000024,*NC(=O)C(Cc1c[nH]c(CCC(N)C(=O)O)n1)NC(*)=O>>*NC(=O)C(Cc1c[nH]c(CCC(C(=O)[O-])[N+](C)(C)C)n1)NC(*)=O
ID0000025,O=C(O)C(=O)CP(=O)(O)C(=O)O>>C=C(OP(=O)(O)C(=O)O)C(=O)O
ID0000026,CN1CC(C(=O)O)=C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21>>CN1CC(C(=O)O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
ID0000027,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O>>*O[C@@H]1O[C@H](CO)[C@@H](*)[C@H](O)[C@H]1O
ID0000028,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCCC(=O)O>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)/C=C/CCC(=O)O
ID0000029,COP(=O)(O)OCCN=C(N)NP(=O)(O)O>>COP(=O)(O)OCCN=C(N)N
ID0000030,C=C1C[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C3C(=O)O>>C=C1C[C@]23C[C@H]1CC[C@H]2[C@]1(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@H]1C3C(=O)O
ID0000031,CC1C(=O)O[C@H]2CC34[C@H]5C[C@@H](C(C)(C)C)C36C(O)C(=O)O[C@H]6O[C@@]4(C(=O)O5)[C@@]12O>>CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1C(C)(C)CCC[C@]21C
ID0000032,COc1cc(C=CC(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O>>COc1cc(C=CC(=O)O)cc(OC)c1O
ID0000033,CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O>>CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
